key,en,fr,es,de,ru,nl,ja,zh,pt-BR
bernstein_datacache_A_caption_01,Universe of origin 438-Eurydice.,Univers d'origine 438-Eurydice.,Universo de origen 438-Eurídice.,Universum Ursprung 438-Eurydice.,Вселенная происхождения 438-Эвридики.,Universum van oorsprong 438-Eurydice.,起源宇宙は438-エウリュディケ。,起源宇宙438-欧律狄刻。,Universo de origem 438-Eurydice.
bernstein_datacache_A_caption_02,"Named after their habitat of choice, burrows underneath the swamps of their homeworld,","Nommé après leur habitat préféré, des terriers sous les marais de leur univers d'origine,","Nombrados por su hábitat de elección, excavan debajo de los pantanos de su mundo natal,","Benannt nach ihrem Lebensraum der Wahl, unter gräbt die Sümpfe ihrer Heimat,","Названные после того, как их обитания выбора, норы под болото своей родины,","Vernoemd naar hun habitat keuze, holen onder de moerassen van hun thuiswereld,",ホームワールドでは沼地の地中に生息することから命名されたが、,它们以它们选择的栖息地命名，喜欢在家园的沼泽下挖洞，,"Nomeado após seu habitat de eleição, tocas debaixo dos pântanos de sua terra natal,"
bernstein_datacache_A_caption_03,but have shown a remarkable adaptation to the dryer rock of the reactor.,mais ils ont montré une adaptation remarquable aux roches plus sèches du réacteur.,pero han mostrado una adaptación notable a la roca más seca del reactor.,haben aber eine bemerkenswerte Anpassung an den Trockner Gestein des Reaktors gezeigt.,но показали замечательную адаптацию к сушильной породе реактора.,maar toonden een opmerkelijke aanpassing aan de droger rots van de reactor.,リアクター周辺の乾燥した岩盤にも驚くべき適応を示している。,但已经表现出对反应堆干燥岩石的非凡适应性。,mas mostraram uma notável adaptação à rocha secador do reactor.
bernstein_datacache_A_caption_04,"Much to our dismay, of course.","à notre grand désarroi, malheureusement.","Lo cual nos consterna, por supuesto.","Zu unserer Bestürzung, natürlich.","К нашему разочарованию, конечно.","Tot onze ontsteltenis, natuurlijk.",もちろん、このことは我々の頭を悩ませている。,这当然令我们很惶恐。,"Muito a nossa consternação, é claro."
bernstein_datacache_A_caption_05,They seem to have burrows all over the damn place.,On dirait bien qu'ils ont des terriers dans tout les foutus recoins du complexe.,Parecen tener madrigueras por todo el maldito lugar.,Sie scheinen gräbt haben in der ganzen verdammten Platz.,"Они, кажется, имеют норы во всем проклятом месте.",Ze lijken te holen hebben over de hele verdomde plaats.,どこにでも穴を掘るし、,它们似乎在这里到处挖洞。,Eles parecem ter tocas todo o maldito lugar.
bernstein_datacache_A_caption_06,Reproduce at a furious pace as well.,Et ça se reproduit aussi très rapidement.,Se reproducen a un ritmo vertiginoso.,Reproduzieren mit rasender Geschwindigkeit als auch.,"Воспроизведите в бешеном темпе, а также.",Reproduceren in een razend tempo ook.,繁殖スピードも恐ろしく速い。,以极快的速度繁殖。,Reproduzem em um ritmo furioso também.
bernstein_datacache_A_caption_07,"They keep killing and dragging off executives apparently, never to be seen again,","Apparement ils n’arrêtent pas de tuer et emmener des cadres, la plupart d'entre eux n'ont jamais été revus.","Siguen matando y arrastrando ejecutivos, los cuales no son vistos nunca más,","Sie halten das Töten und ziehen weg Führungskräfte offenbar nie wieder gesehen zu werden,","Они продолжают убивать и перетащив от руководителей, по-видимому, никогда не видел,","Ze blijven doden en sleurde executives blijkbaar, om nooit meer te zien is,",こいつらはどうも役員連中を殺しては引きずっていき、二度と見つからなくなるんだとか。,很明显，它们一直在杀害管理人员，他们人间蒸发了，,"Eles continuam matando e arrastando executivos aparentemente, para nunca mais ser visto novamente,"
bernstein_datacache_A_caption_08,"so admin’s got me up here studying them to try to, er, put a stop to that, I suppose.","Les administrateurs m'ont mis sur le coup pour, euh, y mettre un terme, je présume.","así que el administrador me ordenó estudiarlos para tratar de, eh, poner fin a eso, supongo.","so admins mich bekommt sie hier studieren, um zu versuchen zu, äh, ein Ende zu setzen, dass, nehme ich an.","поэтому администратор получил меня здесь, изучая их, чтобы попытаться, э, положить конец, что, я полагаю.","dus admin's got me hier ze te bestuderen om te proberen, eh, een einde maken aan die, denk ik.",それを防ぐために管理部は俺を連れてきて生態調査をしろ、という話らしい。,所以老板们让我来这里研究它们，呃，并尝试消灭它们。,"Para o seu administrador tem me aqui estudá-los para tentar, er, pôr um fim a isso, eu suponho."
log_bernstein_mudrunner_B,"I’ve been capturing and studying mudrunners for weeks now, trying to figure out why this species is so damn resilient. Got a bizarre lifecycle, there’s multiple subspecies too. 

The scavengers, the ones we get out and about here, are the adults. They mostly hunt and gather food to bring back to the colony. Baby scavengers are fairly useless, but they do help dig tunnels and such. Adorable little things, to be honest. 

Then there’s the soldiers, which grow hardened chitin spikes and mostly serve to defend the colony. They rarely make it to adulthood, but they’re bloody annoying even in their larval stages. Stepped on one the other day and put some nice holes through my foot. 

Somehow no clues on how these things reproduce, which is odd considering how fast their population seems to be growing. Anyway, back to work.","J'ai commencé à capturer et analyser des mudrunners depuis des semaines, pour essayer de trouver pourquoi cette espèce est tellement résiliente.
Ils ont un cycle de vie bizarre, il y a aussi plusieurs sous-espèces.
Les pilleurs, ceux qui viennent jusqu’ici, sont les adultes.
Ils chassent principalement et récupèrent de la nourriture pour le reste de la colonie.
Les bébés-pilleurs sont assez inutiles, ils aident à creuser des tunnels, ou des trucs du genre. Des petites bêtes adorables, pour être honnête.
Il y a aussi les soldats, qui ont des piques poussant sur leur corps pour défendre la colonie.
Très peu d'entre eux arrivent jusqu’à l'âge adulte, mais ils sont quand même super chiants même à l'état de larve.
J'ai marché l'une d'entre elles l'autre jour et je me suis fait de bons trous dans les pied.
Pour une raison obscure, je n'ai encore aucune idée de comment ils se reproduisent, ce qui est bizarre quand on voit la vitesse à laquelle la colonie à l'air de s'agrandir.
Bref, retour au boulot.","He estado capturando y estudiando a los correlodo durante semanas, tratando de averiguar por qué esta especie es tan resistente. Tienen un ciclo de vida extraño, y hay varias subespecies.

Los carroñeros, los que vemos por aquí, son los adultos. En su mayoría cazan y recolectan alimentos para llevarlos a la colonia. Los carroñeros bebés son bastante inútiles, pero ayudan a cavar túneles. Son unos enanos adorables, la verdad.

Luego están los soldados, a los que les crecen púas de quitina endurecidas y principalmente sirven para defender la colonia. Rara vez llegan a la edad adulta, pero son terriblemente molestos incluso en sus etapas larvarias. Pisé uno el otro día y me hice unos bonitos agujeros en el pie.

De alguna manera no hay pistas sobre cómo se reproducen estas cosas, lo cual es extraño considerando lo rápido que parece estar creciendo su población. De todos modos, volvamos al trabajo.","Ich habe die Erfassung und jetzt mudrunners für Wochen studieren und versuchen, diese Art, um herauszufinden, warum so verdammt elastisch ist. Haben Sie eine bizarre Lebenszyklus, gibt es auch mehrere Unterarten.

Die Aasfresser, wir diejenigen raus und über hier sind die Erwachsenen. Meistens jagen und sammeln Nahrung in die Kolonie zurück zu bringen. Baby Fänger sind ziemlich nutzlos, aber sie helfen graben Tunnel und so. Der entzückende kleine Dinge, um ehrlich zu sein.

Dann gibt es noch die Soldaten, die gehärtete Chitin Spikes wachsen und vor allem dazu dienen, die Kolonie zu verteidigen. Sie machen es selten bis zum Erwachsenenalter, aber sie sind verdammt ärgerlich, auch in ihren Larvenstadien. Gestufte auf einer den anderen Tag und legte ein paar schöne Löcher durch meinen Fuß.

Irgendwie keine Hinweise darauf, wie diese Dinge zu reproduzieren, was merkwürdig ist man bedenkt, wie schnell ihre Bevölkerung scheint zu wachsen. Wie auch immer, zurück an die Arbeit.","Я захватывая и изучение mudrunners уже несколько недель, пытаясь понять, почему этот вид так чертовски упругая. Есть странный жизненный цикл, есть несколько подвидов тоже.

В поглотители, те, которые мы получаем, и о здесь, являются взрослые. Они в основном охотятся и добывают пищу, чтобы принести обратно в колонию. Детские поглотители довольно бесполезно, но они помогают рыть туннели и тому подобные. Очаровательные мелочи, если честно.

Тогда есть солдаты, которые произрастают закаленный хитин шипы и в основном служат для защиты колонии. Они редко делают его к взрослой жизни, но они кровавый раздражает даже в их личиночной стадии. Ступенчатая на один другой день, и поставить некоторые хорошие отверстия через мою ногу.

Как-то нет подсказки о том, как эти вещи воспроизводят, который странно, учитывая, как быстро их население, кажется, растет. Во всяком случае, вернуться к работе.","Ik heb het vastleggen en het bestuderen van mudrunners nu al weken, in een poging om erachter te komen waarom deze soort is zo verdomd veerkrachtig. Heb je een bizarre levenscyclus, is er meerdere ondersoorten ook.

De aaseters, degenen krijgen we uit en over hier, zijn de volwassenen. Zij gaat jagen en voedsel te verzamelen om terug te brengen naar de kolonie. Baby aaseters zijn vrij nutteloos, maar ze helpen graven tunnels en dergelijke. Schattige kleine dingen, om eerlijk te zijn.

Dan is er de soldaten, die gehard chitine spikes groeien en vooral dienen om de kolonie te verdedigen. Ze maken het zelden naar volwassenheid, maar ze zijn bloedige vervelend zelfs in hun larvale stadia. Stapte op een van de andere dag en zet een aantal leuke gaten door mijn voet.

Een of andere manier geen aanwijzingen over hoe deze dingen te reproduceren, die vreemd is gezien hoe snel de bevolking lijkt te groeien. Maar goed, terug aan het werk.","このやたらプヨプヨした生き物の捕獲と調査を繰り返して、もう数週間にもなる。奇妙なライフサイクルをしていて、更に複数の亜種も確認できた。

あちこちで見かけるのはスカベンジャーだ。成体は主に狩りをして食料を集め、コロニーに持ち帰る。幼体のスカベンジャーはほとんど役に立たないが、トンネルを掘る手伝いくらいはするらしい。正直なところ、小さくて可愛いとさえ思う。

そして、ソルジャー。硬化したキチン質のトゲを伸ばして、主にコロニーを防衛する役割を果たす。成体に成長することはほとんどないが、幼体の段階でも厄介だ。気付かずに踏んづけて足に穴を開けたことがある。

しかし、個体数が急速に増えている割に、こいつらがどうやって繁殖しているのか見当もつかないのはおかしい。更に調査を続けることにする。","几个星期以来，我一直在捕捉和研究泥流虫，试图弄清楚这个物种为何如此顽强。
生命周期很奇怪，还有多个亚种。
拾荒者，也就是我们在这里见到的这些，是成年虫。
它们主要是狩猎和收集食物带回巢穴。
幼年拾荒者相当没用，但它们会帮助挖掘隧道之类的。老实说，它们挺可爱的。
接下来是士兵，它们长着坚硬的甲壳质刺，主要用来保卫巢穴。
它们很少能长到成年，但它们在幼虫阶段就非常恶心。
前几天踩到一个，在我脚上穿了几个大洞。
不知什么原因，没有找到它们如何繁殖的线索，但它们的数量增长得如此之快，这太奇怪了。
不管怎样，继续工作吧。","Eu tenho capturar e estudar mudrunners há semanas, tentando descobrir por que esta espécie é tão maldito resistente. Tem um ciclo de vida bizarro, há várias subespécies também.

Os catadores, as que sair e aproximadamente aqui, são os adultos. A maioria deles caçar e coletar alimentos para trazer de volta para a colônia. Bebê catadores são bastante inútil, mas eles ajudam túneis de escavação e tal. coisas adoráveis, para ser honesto.

Depois, há os soldados, que crescem picos de quitina endurecidos e principalmente servem para defender a colônia. Eles raramente chegam à idade adulta, mas eles são sangrenta irritante mesmo em seus estágios larvais. Pisei em um outro dia e colocar alguns buracos agradáveis ​​através do meu pé.

De alguma forma, há pistas sobre como essas coisas se reproduzir, o que é estranho, considerando o quão rápido sua população parece estar crescendo. Enfim, de volta ao trabalho."
bernstein_datacache_B_caption_00,"I’ve been capturing and studying mudrunners for weeks now, trying to figure out why this species is so damn resilient.","J'ai commencé à capturer et analyser des mudrunners depuis des semaines, pour essayer de trouver pourquoi cette espèce est tellement résiliente.","He estado capturando y estudiando a los correlodo durante semanas, tratando de averiguar por qué esta especie es tan resistente.","Ich habe die Erfassung und jetzt mudrunners für Wochen studieren und versuchen, diese Art, um herauszufinden, warum so verdammt elastisch ist.","Я захватывая и изучение mudrunners уже несколько недель, пытаясь понять, почему этот вид так чертовски упругая.","Ik heb het vastleggen en het bestuderen van mudrunners nu al weken, in een poging om erachter te komen waarom deze soort is zo verdomd veerkrachtig.",このやたらプヨプヨした生き物の捕獲と調査を繰り返して、もう数週間にもなる。,几个星期以来，我一直在捕捉和研究泥流虫，试图弄清楚这个物种为何如此顽强。,"Eu tenho capturar e estudar mudrunners há semanas, tentando descobrir por que esta espécie é tão maldito resistente."
bernstein_datacache_B_caption_01,"Got a bizarre lifecycle, there’s multiple subspecies too.","Ils ont un cycle de vie bizarre, il y a aussi plusieurs sous-espèces.","Tienen un ciclo de vida extraño, y hay varias subespecies.","Haben Sie eine bizarre Lebenszyklus, gibt es auch mehrere Unterarten.","Есть странный жизненный цикл, есть несколько подвидов тоже.","Heb je een bizarre levenscyclus, is er meerdere ondersoorten ook.",奇妙なライフサイクルをしていて、更に複数の亜種も確認できた。,生命周期很奇怪，还有多个亚种。,"Tem um ciclo de vida bizarro, há várias subespécies também."
bernstein_datacache_B_caption_02,"The scavengers, the ones we get out and about here, are the adults.","Les pilleurs, ceux qui viennent jusqu’ici, sont les adultes.","Los carroñeros, los que vemos por aquí, son los adultos","Die Aasfresser, wir diejenigen raus und über hier sind die Erwachsenen.","В поглотители, те, которые мы получаем, и о здесь, являются взрослые.","De aaseters, degenen krijgen we uit en over hier, zijn de volwassenen.",あちこちで見かけるのはスカベンジャーだ。,拾荒者，也就是我们在这里见到的这些，是成年虫。,"Os catadores, as que sair e aproximadamente aqui, são os adultos."
bernstein_datacache_B_caption_03,They mostly hunt and gather food to bring back to the colony.,Ils chassent principalement et récupèrent de la nourriture pour le reste de la colonie.,En su mayoría cazan y recolectan alimentos para llevarlos a la colonia.,Meistens jagen und sammeln Nahrung in die Kolonie zurück zu bringen.,"Они в основном охотятся и добывают пищу, чтобы принести обратно в колонию.",Zij gaat jagen en voedsel te verzamelen om terug te brengen naar de kolonie.,成体は主に狩りをして食料を集め、コロニーに持ち帰る。,它们主要是狩猎和收集食物带回巢穴。,A maioria deles caçar e coletar alimentos para trazer de volta para a colônia.
bernstein_datacache_B_caption_04,"Baby scavengers are fairly useless, but they do help dig tunnels and such. Adorable little things, to be honest.","Les bébés-pilleurs sont assez inutiles, ils aident à creuser des tunnels, ou des trucs du genre. Des petites bêtes adorables, pour être honnête.","Los carroñeros bebés son bastante inútiles, pero ayudan a cavar túneles. Son unos enanos adorables, la verdad.","Baby Fänger sind ziemlich nutzlos, aber sie helfen graben Tunnel und so. Der entzückende kleine Dinge, um ehrlich zu sein.","Детские поглотители довольно бесполезно, но они помогают рыть туннели и тому подобные. Очаровательные мелочи, если честно.","Baby aaseters zijn vrij nutteloos, maar ze helpen graven tunnels en dergelijke. Schattige kleine dingen, om eerlijk te zijn.",幼体のスカベンジャーはほとんど役に立たないが、トンネルを掘る手伝いくらいはするらしい。正直なところ、小さくて可愛いとさえ思う。,幼年拾荒者相当没用，但它们会帮助挖掘隧道之类的。老实说，它们挺可爱的。,"Bebê catadores são bastante inútil, mas eles ajudam túneis de escavação e tal. coisas adoráveis, para ser honesto."
bernstein_datacache_B_caption_05,"Then there’s the soldiers, which grow hardened chitin spikes and mostly serve to defend the colony.","Il y a aussi les soldats, qui ont des piques poussant sur leur corps pour défendre la colonie.","Luego están los soldados, a los que les crecen púas de quitina endurecidas y principalmente sirven para defender la colonia.","Dann gibt es noch die Soldaten, die gehärtete Chitin Spikes wachsen und vor allem dazu dienen, die Kolonie zu verteidigen.","Тогда есть солдаты, которые произрастают закаленный хитин шипы и в основном служат для защиты колонии.","Dan is er de soldaten, die gehard chitine spikes groeien en vooral dienen om de kolonie te verdedigen.",そして、ソルジャー。硬化したキチン質のトゲを伸ばして、主にコロニーを防衛する役割を果たす。,接下来是士兵，它们长着坚硬的甲壳质刺，主要用来保卫巢穴。,"Depois, há os soldados, que crescem picos de quitina endurecidos e principalmente servem para defender a colônia."
bernstein_datacache_B_caption_06,"They rarely make it to adulthood, but they’re bloody annoying even in their larval stages.","Très peu d'entre eux arrivent jusqu’à l'âge adulte, mais ils sont quand même super chiants même à l'état de larve.","Rara vez llegan a la edad adulta, pero son terriblemente molestos incluso en sus etapas larvarias.","Sie machen es selten bis zum Erwachsenenalter, aber sie sind verdammt ärgerlich, auch in ihren Larvenstadien.","Они редко делают его к взрослой жизни, но они кровавый раздражает даже в их личиночной стадии.","Ze maken het zelden naar volwassenheid, maar ze zijn bloedige vervelend zelfs in hun larvale stadia.",成体に成長することはほとんどないが、幼体の段階でも厄介だ。,它们很少能长到成年，但它们在幼虫阶段就非常恶心。,"Eles raramente chegam à idade adulta, mas eles são sangrenta irritante mesmo em seus estágios larvais."
bernstein_datacache_B_caption_07,Stepped on one the other day and put some nice holes through my foot.,J'ai marché l'une d'entre elles l'autre jour et je me suis fait de bons trous dans les pied.,Pisé uno el otro día y me hice unos bonitos agujeros en el pie.,Gestufte auf einer den anderen Tag und legte ein paar schöne Löcher durch meinen Fuß.,"Ступенчатая на один другой день, и поставить некоторые хорошие отверстия через мою ногу.",Stapte op een van de andere dag en zet een aantal leuke gaten door mijn voet.,気付かずに踏んづけて足に穴を開けたことがある。,前几天踩到一个，在我脚上穿了几个大洞。,Pisei em um outro dia e colocar alguns buracos agradáveis ​​através do meu pé.
bernstein_datacache_B_caption_08,"Somehow no clues on how these things reproduce, which is odd considering how fast their population seems to be growing.","Pour une raison obscure, je n'ai encore aucune idée de comment ils se reproduisent, ce qui est bizarre quand on voit la vitesse à laquelle la colonie à l'air de s'agrandir.","De alguna manera no hay pistas sobre cómo se reproducen estas cosas, lo cual es extraño considerando lo rápido que parece estar creciendo su población.","Irgendwie keine Hinweise darauf, wie diese Dinge zu reproduzieren, was merkwürdig ist man bedenkt, wie schnell ihre Bevölkerung scheint zu wachsen.","Как-то нет подсказки о том, как эти вещи воспроизводят, который странно, учитывая, как быстро их население, кажется, растет.","Een of andere manier geen aanwijzingen over hoe deze dingen te reproduceren, die vreemd is gezien hoe snel de bevolking lijkt te groeien.",しかし、個体数が急速に増えている割に、こいつらがどうやって繁殖しているのか見当もつかないのはおかしい。,不知什么原因，没有找到它们如何繁殖的线索，但它们的数量增长得如此之快，这太奇怪了。,"De alguma forma, há pistas sobre como essas coisas se reproduzir, o que é estranho, considerando o quão rápido sua população parece estar crescendo."
bernstein_datacache_B_caption_09,"Anyway, back to work.","Bref, retour au boulot.","De todos modos, volvamos al trabajo.","Wie auch immer, zurück an die Arbeit.","Во всяком случае, вернуться к работе.","Maar goed, terug aan het werk.",更に調査を続けることにする。,不管怎样，继续工作吧。,"Enfim, de volta ao trabalho."
